name	P1	P2	P3	P4	P5	P6
Brevibacillus choshinensis	270	0	351	0	0	0
Brevibacillus laterosporus	452	0	2596	604	1011	0
Brevibacterium casei	0	0	248	0	0	0
Brevibacterium linens	0	0	141	0	0	0
Brevibacterium sp. BRM-1	0	853	530	0	0	0
Brevundimonas albigilva	1720	0	0	0	0	0
Brevundimonas mediterranea	0	0	0	305	0	0
Brevundimonas sp.	0	434	0	0	0	0
Brevundimonas sp. AJA228-03	0	246	0	0	0	0
Brevundimonas sp. M20	0	309	0	0	0	0
Brevundimonas subvibrioides	0	0	0	195	0	0
Brucella anthropi	0	0	0	0	0	8320
Brucella intermedia	0	0	0	0	2668	22142
Brucella sp. NM4	0	0	0	1562	0	0
Burkholderia aenigmatica	6173	0	0	0	0	2406
Burkholderia ambifaria	1219	5539	908	2029	1198	6672
Burkholderia anthina	1804	3067	0	0	0	2262
Burkholderia arboris	0	0	0	0	0	171
Burkholderia cenocepacia	6462	4188	2622	5304	2954	5787
Burkholderia cepacia	11984	3768	9402	17535	1375	5411
Burkholderia contaminans	21565	14830	9372	16027	16429	15548
Burkholderia diffusa	0	541	553	495	0	474
Burkholderia dolosa	0	0	0	396	0	0
Burkholderia gladioli	609	2133	2002	519	1308	1281
Burkholderia glumae	909	574	817	508	506	175
Burkholderia lata	9925	7052	1242	2011	1347	2900
Burkholderia latens	0	297	12209	0	0	284
Burkholderia metallica	0	461	0	0	0	193
Burkholderia multivorans	2129	2139	1467	2486	881	1448
Burkholderia orbicola	0	0	0	0	0	737
Burkholderia plantarii	0	933	0	904	0	554
Burkholderia pseudomallei	2170	1283	4067	16872	0	2278
Burkholderia pseudomultivorans	0	0	0	383	0	0
Burkholderia pyrrocinia	1200	1448	326	1561	1088	1649
Burkholderia savannae	0	0	0	0	0	638
Burkholderia seminalis	0	0	2088	643	0	677
Burkholderia sp. FERM BP-3421	0	0	233	0	0	161
Burkholderia sp. IDO3	0	2134	0	3953	0	1042
Burkholderia sp. LA-2-3-30-S1-D2	518	1284	547	478	0	574
Burkholderia sp. MS455	0	870	0	0	0	434
Burkholderia sp. MSMB0856	468	1126	1274	8494	671	1372
Burkholderia sp. PAMC 26561	0	145	0	0	0	0
Burkholderia sp. S-53	0	0	0	0	609	0
Burkholderia sp. THE68	0	1396	827	980	0	0
Burkholderia stabilis	1881	0	0	1339	0	727
Burkholderia stagnalis	10819	2015	1462	0	2444	5152
Burkholderia territorii	375	778	712	831	0	470
Burkholderia thailandensis	0	528	276	0	0	1388
Burkholderia ubonensis	3310	3195	1224	2123	2674	321301
Burkholderia vietnamiensis	0	0	1556	3299	3172	2643
Caballeronia grimmiae	2049	15202	5762	0	4785	0
Caballeronia insecticola	1150	1739	569	329	188	130
Caballeronia sp. Lep1P3	372	660	284	217	0	103
Caballeronia sp. M1242	0	0	288	0	0	0
Caballeronia sp. NK8	2380	3248	1836	1055	0	292
Caballeronia sp. SBC2	822	0	0	0	0	0
Caballeronia sp. Sq4a	0	0	0	0	0	233
Caballeronia sp. TF1N1	202	280	204	148	204	100
Caballeronia zhejiangensis	5439	2825	37903	2547	10418	692
Caldilinea aerophila	0	0	29	0	0	0
Caldimonas brevitalea	277	0	256	301	281	0
Caldimonas thermodepolymerans	1457	1783	710	0	1853	0
Caldinitratiruptor microaerophilus	149	245	66	214	263	156
Calothrix sp. PCC 7507	0	0	136	0	0	0
Calycomorphotria hydatis	0	0	42	0	0	0
Candidatus Babela massiliensis	29	0	0	0	0	0
Candidatus Filomicrobium marinum	0	0	0	44	0	0
Candidatus Koribacter versatilis	905	776	1308	1285	1262	737
Candidatus Mycobacterium methanotrophicum	1775	1581	786	754	383	1101
Candidatus Mycobacterium wuenschmannii	446	341	202	166	0	139
Candidatus Nitrospira inopinata	0	36	33	86	76	59
Candidatus Promineifilum breve	25	0	36	65	74	39
Candidatus Protofrankia datiscae	862	915	1339	1232	1795	441
Candidatus Thiodictyon syntrophicum	87	0	127	152	92	0
Candidatus Velamenicoccus archaeovorus	0	0	0	0	11	0
Candidatus Viadribacter manganicus	90	0	0	0	0	0
Candidatus Xiphinematobacter sp. Idaho Grape	964	770	489	763	543	773
Capillimicrobium parvum	12760	14314	25362	10661	9913	5241
Capsulimonas corticalis	29	31	46	32	42	0
Casimicrobium huifangae	0	0	1931	2600	3249	882
Castellaniella defragrans	0	0	2889	3260	0	0
Catellatospora sp. IY07-71	3322	4974	985	2543	3456	3082
Catenulispora acidiphila	20213	27290	13687	43892	8179	10030
Caulifigura coniformis	69	91	51	55	77	30
Caulobacter flavus	424	710	289	409	0	0
Caulobacter mirabilis	484	557	695	454	565	0
Caulobacter rhizosphaerae	0	493	284	0	243	365
Caulobacter segnis	601	549	675	595	481	674
Caulobacter soli	361	0	239	288	0	0
Caulobacter sp. FWC26	0	0	487	0	0	0
Caulobacter sp. NIBR1757	0	347	599	0	358	0
Caulobacter sp. S6	972	1365	791	945	1103	663
Caulobacter vibrioides	405	375	845	461	371	0
Cellulomonas chengniuliangii	0	318	193	0	286	0
Cellulomonas dongxiuzhuiae	0	0	0	0	324	0
Cellulomonas fengjieae	0	0	128	275	0	0
Cellulomonas fimi	515	838	429	730	420	363
Cellulomonas gilvus	517	0	0	0	0	0
Cellulomonas iranensis	0	0	247	436	436	0
Cellulomonas palmilytica	368	0	295	0	0	0
Cellulomonas sp. ATA003	302	318	217	0	0	0
Cellulomonas sp. C5510	0	0	241	0	0	0
Cellulomonas sp. ES6	0	0	268	0	0	0
Cellulomonas sp. H30R-01	0	0	0	0	294	0
Cellulomonas sp. JZ18	0	0	271	0	0	0
Cellulomonas sp. NS3	0	339	174	357	0	0
Cellulomonas sp. PSBB021	0	0	0	777	0	0
Cellulomonas sp. S1-8	0	0	154	0	0	0
Cellulomonas sp. Y8	0	572	452	0	444	0
Cellulosimicrobium cellulans	633	902	622	769	0	0
Cellulosimicrobium protaetiae	314	335	0	0	0	0
Cereibacter azotoformans	0	0	217	0	203	0
Cereibacter sphaeroides	290	307	282	0	289	0
Chelativorans sp. AA-79	935	0	588	1091	781	562
Chelatococcus daeguensis	596	0	624	484	543	0
Chelatococcus sp. CO-6	1479	1288	1636	804	1789	1397
Chenggangzhangella methanolivorans	600	566	638	1007	1537	639
Chitinimonas koreensis	613	458	315	603	469	256
Chitinophaga sp. HK235	692	0	0	0	0	394
Chloracidobacterium aggregatum	0	0	0	0	10	0
Chloracidobacterium validum	0	0	62	0	46	0
